procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 932096 3857240 115932 5069580    0    0     0    40 4650 2659 78  4 18  0  0  0
 9  0 932096 3856808 115932 5069620    0    0     0     0 4356 2243 77  3 20  0  0  0
 3  0 932096 3857416 115940 5069644    0    0     0    40 4837 4498 79  4 17  0  0  0
 3  0 932096 3858920 115956 5069640    0    0     0    32 4141 1938 76  2 22  0  0  0
 3  0 932096 3858840 115956 5069652    0    0     0     0 4521 2568 77  3 20  0  0  0
 3  0 932096 3857940 115956 5069660    0    0     0     0 4348 2192 76  2 22  0  0  0
 3  0 932096 3856796 115972 5069676    0    0     0    34 4144 1937 77  2 21  0  0  0
 4  0 932096 3859184 115988 5069672    0    0     0    48 4017 1921 75  2 23  0  0  0
 5  0 932096 3861288 115988 5069676    0    0     0    10 4333 2420 76  2 22  0  0  0
 3  0 932096 3859268 115988 5069684    0    0     0     0 4458 3317 77  3 20  0  0  0
 3  0 932096 3860312 115996 5069684    0    0     0    24 4494 3107 77  3 20  0  0  0
 3  0 932096 3858708 116004 5069668    0    0     0    18 4172 2320 76  2 22  0  0  0
 3  0 932096 3857720 116020 5069664    0    0     0    42 4136 2061 76  2 22  0  0  0
 4  0 932096 3855796 116028 5069676    0    0     0    24 4133 1981 78  2 20  0  0  0
 5  0 932096 3857332 116044 5069676    0    0     0    30 4268 2255 76  2 22  0  0  0
 3  0 932096 3858068 116044 5069784    0    0    52     0 4459 2436 76  3 21  0  0  0
 3  0 932096 3856080 116044 5069820    0    0     0    32 4083 2022 75  2 23  0  0  0
 5  0 932096 3856648 116052 5069840    0    0     0    30 4459 2699 76  2 22  0  0  0
 4  0 932096 3854648 116068 5069836    0    0     0    50 4557 2769 75  3 22  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 932096 3852104 116068 5069876    0    0     0     0 4995 4382 77  4 19  0  0  0
 3  0 932096 3851996 116076 5069872    0    0     0    26 4718 3202 76  3 20  0  0  0
 3  0 932096 4039196 116084 5069896    0    0     0    58 4883 3393 79  3 18  0  0  0
 4  0 932096 4037492 116100 5069904    0    0     0   124 4329 2363 76  2 21  0  0  0
 3  0 932096 4037960 116100 5069912    0    0     0     2 4519 2611 76  3 21  0  0  0
 3  0 932096 4041060 116100 5069916    0    0     0     6 4724 3206 76  3 21  0  0  0
 3  0 932096 4031304 116108 5069964    0    0     0    24 3992 1962 75  2 23  0  0  0
 3  0 932096 4034620 116108 5069968    0    0     0     0 4311 2293 76  3 22  0  0  0
 3  0 932096 4033080 116108 5069976    0    0     0    14 4197 2199 75  2 23  0  0  0
 3  0 932096 4039420 116116 5069976    0    0     0   100 3896 1754 75  2 23  0  0  0
12  0 932096 4042616 116124 5071004    0    0     0    24 4672 4295 78  3 18  0  0  0
 3  0 932096 4041172 116144 5071024    0    0     2   292 4320 2725 78  4 19  0  0  0
 3  0 932096 4040980 116144 5071024    0    0     0     0 3870 1692 76  1 23  0  0  0
 3  0 932096 4038724 116152 5071040    0    0     0    52 4068 2003 76  2 22  0  0  0
