procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0 931584 2860628 121624 5253748    0    0  6488   244 6869 6683 88 12  0  0  0  0
12  0 931584 2747436 122960 5258864    0    0  2028   378 6779 6759 86 14  0  0  0  0
10  0 931584 2599892 123300 5318348    0    0   502  1310 6311 6603 87 13  0  0  0  0
 9  0 931584 2632068 123348 5266628    0    0    12  1268 7356 7050 88 12  0  0  0  0
 6  0 931584 2761508 124128 5256644   24    0  1466   174 7137 8552 87 13  0  0  0  0
11  0 931584 2751588 124516 5266332    0    0   322   182 7356 8762 90 10  0  0  0  0
 5  0 931584 2692016 124808 5289096    0    0   192   112 7165 9229 89 11  0  0  0  0
 6  0 931584 2611748 125024 5281260    0    0   800   412 6299 6624 90 10  0  0  0  0
15  0 931584 2600152 126832 5259012    0    0  2638  1532 7998 10031 83 17  1  0  0  0
 7  0 931584 2523720 130364 5269056    0    0  2576  1024 8192 11448 86 14  0  0  0  0
 8  0 931584 2471692 130720 5283292    0    0  1806  2410 8539 11279 87 13  0  0  0  0
15  0 931584 2406268 130908 5276388    0    0   194   110 8734 11180 86 14  0  0  0  0
13  1 931584 2406852 131108 5290564    0    0   100   266 8101 9616 89 11  0  0  0  0
 5  0 931584 2416512 131136 5290904    0    0    42   502 7088 7996 88  9  3  0  0  0
 9  0 931584 2432028 131344 5297268    0    0   226   250 6819 8462 90  9  1  0  0  0
10  1 931584 2364736 131504 5321776    0    0   302 13398 7540 9776 88 12  0  0  0  0
 5  0 931584 2267108 132056 5306788    0    0  4788  4160 7410 9433 90 10  0  0  0  0
10  0 931584 2178012 132352 5325216    0    0  5174  4500 6338 7178 91  9  0  0  0  0
 5  0 931584 2170944 132860 5321392    0    0  1432  1488 6660 7195 92  8  0  0  0  0
 8  0 931584 2153792 133004 5310292    0    0     4   828 5713 4317 94  5  0  0  0  0
12  0 931584 2182536 133112 5337240    0    0  1612  1650 6903 8053 90 10  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
17  0 931584 2129304 133608 5372832    0    0   842  4738 7660 8922 87 13  0  0  0  0
 9  0 931584 2068496 134492 5383188    0    0  1732   312 7216 8791 89 11  0  0  0  0
12  1 931584 1964756 134592 5372264    0    0   266   176 7509 8704 87 13  0  0  0  0
13  0 931584 1914228 135284 5392664    0    0  2770   502 7102 8849 88 12  0  0  0  0
11  0 931584 1775504 136588 5489592    0    0  2604  2876 6990 10162 90 10  0  0  0  0
11  0 931584 1824596 136900 5394004    0    0   428    38 6563 8924 91  9  0  0  0  0
11  0 931584 1754324 136924 5393760    0    0     4   196 6187 7854 92  8  0  0  0  0
13  0 931584 1633988 136968 5400976    0    0    22  4638 6605 8076 91  9  0  0  0  0
13  0 931584 1657556 137160 5385000    0    0   551   406 6012 7080 93  7  0  0  0  0
11  0 931584 1631684 137192 5373936    0    0    84  2824 5843 6340 93  7  0  0  0  0
 9  0 931584 1521784 137388 5419708    0    0   686  1006 6392 7060 92  8  0  0  0  0
10  0 931584 1462248 137620 5428392    0    0   888    10 6111 6285 94  6  0  0  0  0
 7  0 931584 1464744 137800 5424156    0    0   532  1512 6265 5827 93  7  0  0  0  0
 7  0 931584 1510972 137872 5426788    0    0    74   256 5732 4545 95  6  0  0  0  0
12  0 931584 1534228 137928 5392964    0    0   132   330 5827 5749 93  7  0  0  0  0
10  0 931584 1559996 138128 5400752    0    0   456   568 6507 8074 92  8  0  0  0  0
 7  0 931584 1420692 138336 5425828    0    0   726   134 6215 7031 92  8  0  0  0  0
 6  0 931584 1458696 138348 5403172    0    0    20  1438 5719 5205 93  7  0  0  0  0
 8  0 931584 1480484 138388 5403060    0    0     4   720 5875 4418 94  6  0  0  0  0
 6  0 931584 1416124 138420 5441924    0    0  2616   624 6044 6696 93  7  0  0  0  0
23  0 931584 1304636 138640 5498344    0    0  1266   610 6309 7147 92  8  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  0 931584 1320760 139000 5493540    0    0   308  1754 7160 8616 90 10  0  0  0  0
10  0 931584 1262376 140056 5497728    0    0  1042     0 6336 7445 92  8  0  0  0  0
14  0 931584 1163368 140492 5492040    0    0  4938   726 5854 6776 94  7  0  0  0  0
12  0 931584 1091752 140736 5492596    0    0   798  1054 5935 6117 94  6  0  0  0  0
11  0 931584 1040360 140908 5481016   16    0   580   190 5502 5275 95  5  0  0  0  0
10  0 931584 1014492 141080 5497556    0    0   152   734 6087 6966 92  8  0  0  0  0
11  0 931584 954212 143744 5514496    0    0  2616  1552 6438 7377 92  8  0  0  0  0
 9  0 931584 852328 174184 5534192    0    0 15496   546 6926 8375 90 10  0  0  0  0
17  0 931584 717272 174220 5538892    0    0    52  1374 5621 5771 93  7  0  0  0  0
 9  0 931584 693612 174232 5501448    0    0   126   816 5937 6198 94  7  0  0  0  0
 9  0 931584 731352 174428 5512716    0    0   202  4278 6436 7767 92  8  0  0  0  0
13  0 931584 654836 174544 5528520    0    0   100  4564 5879 6541 94  6  0  0  0  0
14  0 931584 605584 174696 5545100    0    0   586 16862 6069 6931 90  9  0  0  0  0
 9  0 931584 571140 174940 5514292    0    0    96  5724 5751 6561 93  7  0  0  0  0
10  0 931584 500556 175104 5530540    0    0  1704  8350 6600 8020 91  9  0  0  0  0
18  0 931584 405292 175132 5534860    0    0     2  2692 6241 6462 94  6  0  0  0  0
14  0 931584 531436 175160 5506428    0    0   756   348 6267 6748 94  6  0  0  0  0
10  0 931584 640428 175176 5505992    0    0     0   710 6282 6090 95  5  0  0  0  0
 8  0 931584 620212 176464 5545920   16    0  1280   852 6282 7097 93  7  0  0  0  0
 8  0 931584 551800 176508 5570972    0    0   144    64 6531 8219 94  7  0  0  0  0
13  0 931584 405828 176544 5575180    0    0   352   248 6263 8169 92  8  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
18  0 931584 415704 176584 5583076    0    0   382  1762 6516 8079 91  9  0  0  0  0
11  0 931584 374212 176644 5562128    0    0    20   392 6114 7055 92  8  0  0  0  0
10  0 931584 448072 176848 5536876    0    0   256   790 6494 7517 93  7  0  0  0  0
14  0 931584 358092 176880 5582480    0    0    66   922 6238 7194 92  8  0  0  0  0
11  0 931584 353688 177184 5539852    0    0   464   370 6020 6856 92  8  0  0  0  0
12  0 931584 293396 177208 5575064    0    0  1076  3058 6228 6279 93  7  0  0  0  0
 9  0 931584 505760 177296 5577180    0    0    82   424 6373 6981 90 11  0  0  0  0
 8  0 931584 607736 177376 5553360    0    0     0   254 5876 5579 94  6  0  0  0  0
10  0 931584 637424 177400 5551216    0    0     4   158 6067 5363 95  5  0  0  0  0
 8  1 931584 620752 177408 5565264    0    0    70  1040 6054 6614 92  8  0  0  0  0
 7  0 931584 592004 177416 5582848    0    0    28  4674 6080 6753 93  7  0  0  0  0
10  0 931584 526188 177548 5574736    0    0  2404    98 6324 7696 92  8  0  0  0  0
 7  0 931584 522160 177628 5587120    0    0   304   518 6518 7077 92  8  0  0  0  0
 5  0 931584 514136 178224 5617704    0    0   784  9238 6558 7109 91  9  0  0  0  0
 8  0 931584 448900 178288 5603664    0    0   462   290 6573 7467 90 10  0  0  0  0
15  0 931584 450632 178328 5635456    0    0   336 13062 6808 7935 91  9  0  0  0  0
11  0 931584 461316 178492 5624768    0    0   956   384 6474 7892 93  7  0  0  0  0
 9  0 931584 490828 178540 5607588    0    0   408  1098 6833 7066 93  7  0  0  0  0
10  0 931584 462344 178696 5598380    0    0  1102   298 7051 9232 91  9  0  0  0  0
12  0 931584 398052 178724 5607060    0    0   522    84 6274 6779 93  7  0  0  0  0
 5  0 931584 401460 178880 5607264    0    0    70 12860 5872 5997 94  6  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
10  0 931584 304932 179216 5623352    0    0  2058    70 6296 7748 90 10  0  0  0  0
 6  0 931584 262832 179260 5624940    0    0    92  1788 5957 6536 91  9  0  0  0  0
12  0 931584 203076 178688 5618460    0    0  9698   102 6029 7173 90 10  0  0  0  0
13  0 931584 140216 175148 5581740    0    0   526   226 5795 6016 93  7  0  0  0  0
14  0 932864 187260 174500 5475636    0  646   268  1018 5555 5790 93  7  0  0  0  0
16  0 932864 197612 174580 5464948    0    0   312    44 5829 6795 93  7  0  0  0  0
11  0 932864 156912 174916 5497660    0    0  3154  2266 6117 6854 92  8  0  0  0  0
16  0 935680 218256 172868 5416120    0 1362  3968  1640 6186 6975 93  7  0  0  0  0
 9  0 935680 176084 172956 5420512    0    0   560   128 6404 7495 93  7  0  0  0  0
15  0 937984 168116 173108 5323804    0 1192   952  8434 6197 7924 88 12  0  0  0  0
17  0 939776 223268 172276 5267252    0  884  4122  1212 6724 10167 87 13  0  0  0  0
18  0 942848 199424 168896 5262168    0 1658  6296  2072 6890 8501 89 11  0  0  0  0
11  0 942848 332604 168920 5065240    0    0  1634  1546 6552 7840 91  9  0  0  0  0
12  0 942848 360644 168936 5053144    0    0   192   106 5729 5036 94  6  0  0  0  0
10  0 942848 342832 169488 5019048    0    0   498  1876 5663 5800 94  6  0  0  0  0
 7  1 942848 436184 169624 4972916    0    0   534     4 6067 6036 94  6  0  0  0  0
 7  0 942848 432008 169692 4972188    0    0    20   614 6020 6037 94  6  0  0  0  0
 6  0 942848 437988 169712 4970032    0    0    14   246 5714 4894 95  5  0  0  0  0
11  0 942848 442096 169736 4973740    0    0     8    98 5687 4805 95  5  0  0  0  0
 6  0 942848 455484 169756 4968116    0    0    26   264 5947 5259 95  5  0  0  0  0
13  0 942848 372804 169788 4980212    0    0   170    86 7501 9651 90 10  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0 942848 447600 169944 4976300    0    0    86   120 7461 8861 91  9  0  0  0  0
 8  0 942848 409052 170000 4994912    0    0  6066   976 6696 7444 92  8  0  0  0  0
 6  0 942848 439636 170008 4994020    0    0   414    72 5768 5414 94  5  1  0  0  0
 8  0 942848 500232 170008 4988236    0    0     0   618 5726 5354 90  5  5  0  0  0
 6  0 942848 371408 170120 5022144    0    0   732   466 6509 6716 88 10  2  0  0  0
13  0 942848 225240 170276 5041136    0    0    84  2398 7129 7883 85 15  0  0  0  0
 8  0 942848 181448 170344 5026840    0    0   186  5618 6896 8537 88 12  0  0  0  0
13  0 942848 323572 170600 4935432    0    0   904   430 6430 7381 90 10  0  0  0  0
12  0 942848 368752 170608 4934040    0    0    46  8252 6366 6243 93  7  0  0  0  0
 6  0 942848 352760 170616 4944212    0    0   360     2 5986 6008 93  7  0  0  0  0
 9  0 942848 266120 170732 4957336    0    0  2128   224 6105 6715 92  8  0  0  0  0
12  0 942848 221480 170992 4955064    0    0  1746  3550 5961 6921 92  8  0  0  0  0
 7  0 942848 210136 171116 4969728    0    0   702   258 6287 7982 90 10  0  0  0  0
16  0 942848 212308 171240 4971732   16    0   312    66 5966 6467 93  7  0  0  0  0
 9  0 942848 261112 171268 4966012    0    0    10  1660 5797 5725 93  7  0  0  0  0
 8  0 942848 295244 171292 4967328    0    0   438    76 5875 5633 94  6  0  0  0  0
 6  0 942848 332484 171320 4961664    0    0     2  1766 5847 5664 94  5  1  0  0  0
 5  0 942848 340340 171340 4959744    0    0     4   126 6744 7947 90  8  2  0  0  0
 4  0 942848 340896 171340 4972112    4    0     4    16 6897 8200 88  9  2  0  0  0
 6  0 942592 341904 171764 4981652   16    0  5359  1058 6648 7880 84 15  1  0  0  0
 4  0 942592 333556 171780 4995356    0    0 24149    76 5840 7583 84 15  1  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 942592 304492 171828 5012408   36    0 14514  9352 6140 6930 88 12  0  0  0  0
10  2 941568 183744 172332 5072052  462    0 34263   628 6750 10031 84 16  1  0  0  0
11  0 946688 256140 169760 4969924    0 2614 34517  3246 6483 8795 84 16  0  0  0  0
 9  0 946688 187640 169964 4979184    0    0  4757 15666 6288 7322 92  8  0  0  0  0
 9  0 950272 136404 168304 4944924    0 1726  7643  2218 6603 7593 89 10  0  0  0  0
 6  0 959744 178988 161988 4856556    0 4874  7020  7500 7350 10004 87 13  0  0  0  0
14  0 968192 157488 154688 4761992    0 4426  2568  5974 7507 12747 89 11  0  0  0  0
 8  0 972288 180640 152320 4710232    2 2186  1641  3066 7903 11116 88 12  0  0  0  0
12  0 976896 157072 148848 4659800    0 2272  8734  7454 8075 11197 87 13  0  0  0  0
12  0 983552 173020 145460 4618072    0 3364  9647  4148 7306 11353 86 14  0  0  0  0
11  0 987904 139312 131916 4622888    0 2106  1285  2956 6550 8506 89 11  0  0  0  0
 6  0 992256 181688 123016 4525868    0 2200  7946  2874 6904 8648 88 12  0  0  0  0
11  1 1006336 150852 111260 4400044    0 7124   324  7500 6742 9227 87 13  0  0  0  0
11  0 1006336 163120 111636 4448340   12    0 10963   108 6180 8029 91  9  0  0  0  0
13  0 1008384 141408 107068 4407576   10 1036  1840  1426 6481 7903 91  9  0  0  0  0
 7  0 1010688 156656 103496 4381336   56 1120  7579  1358 7152 8517 89 10  0  0  0  0
 4  0 1010688 191048 103548 4385112    6    0   210    32 5997 5799 94  6  0  0  0  0
 5  0 1010688 172244 103548 4385420    0    0  1192   170 6147 6942 93  7  0  0  0  0
13  0 1012224 133976 101004 4341732    0  800  4323  1686 6516 8604 89 11  0  0  0  0
19  1 1020672 147756 101012 4243248    0 4134   146  4168 6577 7541 87 13  0  0  0  0
16  1 1057280 148752 100612 4149488    0 18340  8710 18498 6777 7904 84 16  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
18  0 1058304 146044  90904 4065216    0  506  4031  2930 6937 7969 88 12  0  0  0  0
18  0 1067776 195820  78912 3997588    0 4854  6265  5256 6539 8053 88 12  0  0  0  0
 7  1 1069056 243328  78292 3936248    0  678 20382   900 6506 7948 88 12  0  0  0  0
10  1 1069056 254912  78468 3970960    0    0 11744   210 6850 8032 88 12  0  0  0  0
 3  0 1069056 220912  78712 3983456    0    0  3593   406 6473 6652 90 10  0  0  0  0
 8  0 1069056 232920  79232 3996064    0    0  4826  2244 6686 8227 91  8  0  0  0  0
 7  0 1069056 227228  79232 3991928    0    0    63     4 6565 7258 92  8  0  0  0  0
11  0 1069056 210180  79260 4008036    8    0   158    96 6061 5945 93  7  0  0  0  0
10  0 1069056 137444  79352 4028100    0    0  2116   294 6875 8565 87 13  0  0  0  0
12  0 1070848 289144  78620 3923720    0  924  1640  1210 8955 10507 83 17  0  0  0  0
 7  0 1070592 1782152  79300 3913168   24    0 11380  3210 8200 11536 82 18  0  0  0  0
 7  0 1070592 1842388  79332 3910748    0    0   886   130 7236 8934 93  6  1  0  0  0
 7  0 1070592 1803560  79492 3958476    0    0 30529    96 7418 11132 85  8  6  1  0  0
 8  0 1070592 1771120  79540 3960208    0    0  1656  1352 7164 10202 85  9  6  0  0  0
 3  0 1070592 1761572  79556 3961948    0    0  1124   202 7241 9337 80 13  7  0  0  0
 3  0 1070592 1773584  79564 3967444    0    0    53   804 6019 6355 79  5 16  0  0  0
 3  0 1070592 1770640  79580 3960680    0    0     0   138 5106 4091 77  3 21  0  0  0
 4  0 1070592 1721024  79588 3949788    0    0    34    24 5471 4690 78  4 17  0  0  0
 3  0 1070592 1731584  79608 3949892    0    0     2   832 4603 2702 77  4 20  0  0  0
 3  0 1070592 1745108  79608 3951292    0    0     0    68 5324 5170 79  4 16  0  0  0
 3  0 1070592 1741956  79628 3949224    0    0     2   560 5172 4509 78  4 17  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 1070592 1749272  79628 3951324    0    0     0     4 5386 4807 78  4 18  0  0  0
 3  0 1070592 1745668  79628 3952392    0    0  1004     0 5746 6079 79  5 16  0  0  0
 3  0 1070592 1743084  79668 3952412    0    0     4   860 5272 4777 78  4 18  0  0  0
 3  0 1070592 1736172  79676 3952576    0    0    82    32 5555 3658 73 22  4  0  0  0
 4  0 1070592 1742528  79692 3952600    0    0    49  1926 5677 5989 80  6 15  0  0  0
 3  0 1070592 1739812  79692 3952768    0    0    78     0 6570 7108 80  7 13  0  0  0
 3  0 1070592 1771828  79692 3953796    0    0     0    20 6186 6236 78  8 14  0  0  0
 3  0 1070592 1769888  79712 3953760    0    0     2  1168 5712 4980 78  4 18  0  0  0
 6  0 1070592 1776036  79744 3953620    0    0     0   152 6761 6497 83 11  7  0  0  0
 3  0 1070592 1776236  79744 3953768    0    0     0     2 6802 6853 79  7 15  0  0  0
 4  0 1070592 1775160  79752 3953784   12    0    12   256 6493 6371 78  7 15  0  0  0
 3  0 1070592 1779248  79776 3951408    0    0    77   104 7292 8764 79  8 12  0  0  0
 4  0 1070592 1777036  79792 3951416    0    0     0    90 5040 4494 77  3 20  0  0  0
 4  0 1070592 1776084  79792 3951352    0    0     0   256 5209 3759 78  4 18  0  0  0
 5  0 1070592 1785216  79800 3951100    0    0     0    58 4992 3557 80  2 18  0  0  0
 3  0 1070592 1788488  79808 3951092    0    0     0   286 5512 4377 77  4 19  0  0  0
 3  0 1070592 1797408  79816 3951276    0    0   259    24 5429 4975 79  4 18  0  0  0
 3  0 1070592 1791872  79852 3951472    0    0     2   194 5156 4540 78  3 18  0  0  0
 3  0 1070592 1800980  79860 3950332    0    0     0    38 4862 3493 80  3 18  0  0  0
 4  0 1070592 1806000  79876 3950336    0    0     0    30 4764 3391 75  3 22  0  0  0
 3  0 1070592 1803960  79876 3950472    0    0    64    34 5420 4570 77  6 17  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 1070592 1808600  79884 3950528    0    0     4    54 7023 7234 80  8 12  0  0  0
 3  0 1070592 1805872  79900 3950552    0    0     0    88 5251 3885 77  6 17  0  0  0
 4  0 1070592 1810136  79916 3950548    0    0     0   114 5023 3613 77  4 20  0  0  0
 5  0 1070592 1806180  79928 3950592    0    0     2   130 5029 3811 76  3 21  0  0  0
 4  0 1070592 1804220  79944 3948556    0    0     0    84 5009 3709 78  3 20  0  0  0
 6  0 1070592 1781056  79968 3953012    0    0     0   134 4904 3485 79  3 18  0  0  0
 3  0 1070592 1789120  79984 3953064    0    0     0   254 4706 3099 78  3 19  0  0  0
 4  0 1070592 1789148  79984 3953856    0    0     0   128 5517 5562 80  6 14  0  0  0
 3  0 1070592 1771972  79992 3953768    0    0     8    72 5351 5104 79  6 14  0  0  0
 3  0 1070592 1782132  79992 3952856    0    0     0     4 4732 3493 80  3 18  0  0  0
 3  0 1070592 1781816  80000 3952840    0    0     0    64 4630 2806 77  2 21  0  0  0
 3  0 1070592 1786768  80024 3952888    0    0    58   160 4660 2612 80  3 17  0  0  0
 3  0 1070592 1786716  80032 3953164    0    0   170    30 4363 2579 76  3 21  0  0  0
 3  0 1070592 1786176  80048 3953828    0    0     0    42 5012 3936 78  4 17  0  0  0
 3  0 1070592 1785864  80048 3953952    0    0    56   306 5284 4802 78  5 17  0  0  0
 3  0 1070592 1783592  80048 3953292    0    0     0   128 5009 3625 77  4 20  0  0  0
 3  0 1070592 1783820  80064 3953332    0    0    22    72 4642 2999 77  3 20  0  0  0
 4  0 1070592 1713304  80224 3954724    0    0    72   264 5030 3566 82  5 13  0  0  0
 3  0 1070592 1727608  80224 3954644    0    0     0     4 4918 3371 78  4 18  0  0  0
 3  0 1070592 1742740  80240 3955328    0    0     0    96 5507 5101 78  5 16  0  0  0
 3  0 1070592 1770820  80248 3952944    0    0     0    78 5194 4559 78  3 19  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 1070592 1773724  80272 3952932    0    0     0   146 5008 4029 79  4 17  0  0  0
 3  0 1070592 1773408  80276 3952940    0    0     2    12 5360 4868 78  5 18  0  0  0
 3  0 1070592 1775324  80276 3952232    0    0     0    46 4622 2636 77  3 20  0  0  0
 3  0 1070592 1767056  80284 3952996    0    0    18    50 5165 5081 80  3 16  0  0  0
 4  0 1070592 1770280  80360 3951772    0    0    42  1948 4847 3470 80  4 16  0  0  0
 3  0 1070592 1781504  80384 3952856    0    0     0    60 4975 4209 78  3 19  0  0  0
 4  0 1070592 1782744  80408 3952912    0    0    49   112 5207 4512 77  5 18  0  0  0
 8  1 1070592 1780420  80556 3951976    0    0    72    34 5956 7303 80  6 14  0  0  0
 3  0 1070592 1781036  80560 3953764    0    0  1011     4 6007 7445 82  6 12  0  0  0
 3  0 1070592 1788676  80560 3955972    0    0    84     4 4849 3821 77  4 19  0  0  0
 3  0 1070592 1787364  80584 3955984    0    0     0   148 4911 4290 78  3 19  0  0  0
 3  0 1070592 1785772  80600 3955848    0    0     0    70 5449 5539 79  5 16  0  0  0
 5  0 1070592 1788540  80600 3955856    0    0     0     2 5198 4949 79  4 18  0  0  0
 3  0 1070592 1789576  80600 3955856    0    0     0   266 4566 2547 76  3 21  0  0  0
 3  0 1070592 1744988  80632 3958316    0    0     0   138 4799 3289 79  5 16  0  0  0
 3  0 1070592 1747972  80648 3958320    0    0     0   142 4902 3424 77  3 20  0  0  0
 3  0 1070592 1747796  80648 3958324    0    0     0    48 4795 3290 76  2 22  0  0  0
 3  0 1070592 1747728  80656 3958268    0    0     0    68 4616 2905 76  3 21  0  0  0
 3  0 1070592 1742928  80656 3958324    0    0     0   128 4279 2432 76  2 22  0  0  0
 3  0 1070592 1744040  80656 3958328    0    0     0     0 4546 2738 76  3 21  0  0  0
 3  0 1070592 1745696  80684 3958324    0    0     2   516 4450 2518 76  3 21  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 1070592 1744272  80712 3958468    0    0     2   116 5500 5377 78  4 17  0  0  0
 3  0 1070592 1748440  80744 3958444    0    0     0    92 5184 4269 77  5 18  0  0  0
 4  0 1070592 1747284  80744 3958444    0    0     0    90 4475 2508 77  3 20  0  0  0
 3  0 1070592 1746120  80744 3958864    0    0   274     2 5929 4809 79  6 15  0  0  0
 3  0 1070592 1756032  80760 3958880    0    0     0   190 5040 3439 78  5 18  0  0  0
 3  0 1070592 1753696  80780 3958880    0    0     2    86 5257 3978 78  5 17  0  0  0
 4  0 1070592 1750624  80780 3958888    0    0     0    70 5459 4255 78  3 19  0  0  0
 3  0 1070592 1750416  80780 3959088    0    0    98     0 4769 2774 78  4 18  0  0  0
 3  0 1070592 1761308  80812 3956660    0    0     0   184 4639 2651 77  2 20  0  0  0
 5  0 1070592 1764788  80836 3956660    0    0     0   130 4692 2792 77  2 20  0  0  0
 5  0 1070592 1769776  80836 3956664    0    0     0    10 4789 3048 77  3 20  0  0  0
 3  0 1070592 1813104  80836 3954220    0    0     0     0 4593 3187 76  3 21  0  0  0
 3  0 1070592 1801688  80844 3954240    0    0    82   184 4927 3375 78  4 17  0  0  0
 3  0 1070592 1807864  81116 3954440    0    0   206    76 4992 3276 77  3 20  0  0  0
 3  0 1070592 1809688  81132 3954456    0    0     0   322 4720 2819 77  2 21  0  0  0
 3  0 1070592 1801996  81140 3954492    0    0     0    48 5419 5683 79  5 16  0  0  0
 3  0 1070592 1804300  81156 3954776    0    0   930    26 4814 3090 76  3 21  0  0  0
 7  0 1070592 1808256  81156 3954792    0    0     4     0 4401 2387 76  2 22  0  0  0
 3  0 1070592 1804436  81172 3954828    0    0     0    90 4513 2594 77  2 21  0  0  0
 3  0 1070592 1802216  81188 3954848    0    0     0    98 4504 2562 77  3 20  0  0  0
 3  0 1070592 1751960  81196 3971868    0    0  7340    66 5514 5323 80  7 13  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 1070592 1742884  81196 3973556    0    0   288     0 6495 7800 83  6 11  0  0  0
 6  0 1070592 1741672  81204 3972540    0    0     0    54 5577 6000 80  5 16  0  0  0
 3  0 1070592 1727248  81212 3975048    0    0    18   142 5879 6075 80  6 14  0  0  0
 3  0 1070592 1726708  81244 3975108    0    0    28   320 4881 3149 78  3 19  0  0  0
 3  2 1070592 1679544  81296 4020324   14    0 20866  1820 5910 4587 81  4 14  1  0  0
 3  0 1070592 1669004  81544 4028656    0    0  6252  5138 5547 4136 82  5 12  1  0  0
 3  0 1070592 1679516  81544 4028660    0    0     0    72 4553 2527 77  2 21  0  0  0
 3  0 1070592 1676468  81544 4028676    0    0     0    12 4644 2789 77  3 21  0  0  0
 3  0 1070592 1677316  81560 4028704    0    0     0   400 4723 2776 77  2 21  0  0  0
 7  0 1070592 1681968  81576 4028116    0    0     0   150 5260 3912 78  3 19  0  0  0
 3  0 1070592 1681052  81592 4028732    0    0     0    30 5715 5732 82  4 13  0  0  0
 3  0 1070592 1702096  81592 4029328   10    0   237   222 5084 3700 77  5 19  0  0  0
 9  0 1070592 1689452  81612 4029336    0    0     2   100 4582 2973 77  2 20  0  0  0
 3  0 1070592 1686272  81620 4030408    0    0   753    24 5218 5006 80  5 15  0  0  0
 3  0 1070592 1685768  81636 4030400    0    0     0    50 4876 3396 78  4 18  0  0  0
 6  0 1070592 1683200  81636 4036044    0    0  4795     0 4693 3105 77  4 19  0  0  0
 3  0 1070592 1681460  81648 4045596    0    0  5937   118 4953 3287 77  5 18  1  0  0
 3  0 1070592 1686084  81656 4043160    0    0     0    42 4305 2488 76  2 22  0  0  0
 3  0 1070592 1693768  81680 4043160    0    0     0   152 4450 2522 76  3 21  0  0  0
 3  0 1070592 1694680  81680 4043164    0    0     0     0 4498 2644 76  3 21  0  0  0
 3  0 1070592 1692852  81680 4043168    0    0     0     8 4582 2703 77  4 19  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 1070592 1687756  81688 4043172    0    0     0    48 4358 2336 76  3 21  0  0  0
 3  0 1070592 1691872  81704 4043464    0    0   250    62 4520 2644 77  3 20  0  0  0
 5  0 1070592 1702912  81724 4043460    0    0     2    52 4348 2440 76  2 22  0  0  0
 4  0 1070592 1705316  81732 4043464    0    0     0    56 4454 2864 77  3 21  0  0  0
 4  0 1070592 1702000  81752 4044296    0    0   403   190 6632 6693 79 10 11  0  0  0
 3  0 1070592 1699032  81884 4045228    0    0   368   486 5634 4631 77  6 16  0  0  0
 3  0 1070592 1702304  81900 4045236    0    0     0   126 5130 3614 77  5 18  0  0  0
 3  0 1070592 1701760  81916 4045516    0    0   192   100 4554 2700 77  3 20  0  0  0
 6  0 1070592 1737480  81936 4039148    0    0     2    68 4598 2763 77  3 20  0  0  0
 3  0 1070592 1736824  81952 4038972    0    0     0    88 4499 2560 77  2 21  0  0  0
